sim_nr,wall_setup,bollard_type,particles,time_s,total_exited
69,wallie1,close,1500,5,0
69,wallie1,close,1500,6,0
69,wallie1,close,1500,7,0
69,wallie1,close,1500,8,0
69,wallie1,close,1500,9,0
69,wallie1,close,1500,10,0
69,wallie1,close,1500,11,0
69,wallie1,close,1500,12,0
69,wallie1,close,1500,13,0
69,wallie1,close,1500,14,0
69,wallie1,close,1500,15,7
69,wallie1,close,1500,16,24
69,wallie1,close,1500,17,49
69,wallie1,close,1500,18,84
69,wallie1,close,1500,19,125
69,wallie1,close,1500,20,172
69,wallie1,close,1500,21,222
69,wallie1,close,1500,22,277
69,wallie1,close,1500,23,334
69,wallie1,close,1500,24,383
69,wallie1,close,1500,25,435
69,wallie1,close,1500,26,496
69,wallie1,close,1500,27,547
69,wallie1,close,1500,28,597
69,wallie1,close,1500,29,657
69,wallie1,close,1500,30,715
69,wallie1,close,1500,31,769
69,wallie1,close,1500,32,822
69,wallie1,close,1500,33,872
69,wallie1,close,1500,34,922
69,wallie1,close,1500,35,967
69,wallie1,close,1500,36,1009
69,wallie1,close,1500,37,1054
69,wallie1,close,1500,38,1095
69,wallie1,close,1500,39,1130
69,wallie1,close,1500,40,1167
69,wallie1,close,1500,41,1205
69,wallie1,close,1500,42,1232
69,wallie1,close,1500,43,1264
69,wallie1,close,1500,44,1292
69,wallie1,close,1500,45,1318
69,wallie1,close,1500,46,1338
69,wallie1,close,1500,47,1362
69,wallie1,close,1500,48,1380
69,wallie1,close,1500,49,1398
69,wallie1,close,1500,50,1414
69,wallie1,close,1500,51,1428
69,wallie1,close,1500,52,1442
69,wallie1,close,1500,53,1452
69,wallie1,close,1500,54,1461
69,wallie1,close,1500,55,1469
69,wallie1,close,1500,56,1475
69,wallie1,close,1500,57,1481
69,wallie1,close,1500,58,1485
69,wallie1,close,1500,59,1489
69,wallie1,close,1500,60,1491
69,wallie1,close,1500,61,1494
69,wallie1,close,1500,62,1496
69,wallie1,close,1500,63,1496
69,wallie1,close,1500,64,1497
69,wallie1,close,1500,65,1498
69,wallie1,close,1500,66,1499
70,wallie1,void,3000,0,0
70,wallie1,void,3000,1,0
70,wallie1,void,3000,2,0
70,wallie1,void,3000,3,0
70,wallie1,void,3000,4,0
70,wallie1,void,3000,5,0
70,wallie1,void,3000,6,0
